Game,Game Played,Date,Age,Year,Age(Y),Team,Home Away,Opp,WL,Started,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,PM
8,8,11/12/2007,22-317,2007,22,CLE,Away,DEN,L (-22),1,33:47:00,9,16,0.563,1,3,0.333,8,14,0.571,0,1,1,4,2,0,4,3,27,16.9,-13
9,9,11/14/2007,22-319,2007,22,CLE,Home,ORL,L (-1),1,47:14:00,15,27,0.556,2,4,0.5,7,9,0.778,4,9,13,14,0,2,4,1,39,37.6,2
10,10,11/16/2007,22-321,2007,22,CLE,Home,UTA,W (+5),1,40:16:00,13,27,0.481,1,3,0.333,13,15,0.867,2,8,10,9,0,3,5,3,40,31.5,13
11,11,11/20/2007,22-325,2007,22,CLE,Home,MIL,L (-4),1,44:06:00,11,22,0.5,1,7,0.143,11,12,0.917,0,7,7,7,1,1,3,4,34,26.7,-2
12,12,11/21/2007,22-326,2007,22,CLE,Away,MIN,W (+11),1,39:03:00,17,26,0.654,6,10,0.6,5,8,0.625,2,6,8,5,3,2,3,2,45,39.7,14
13,13,11/24/2007,22-329,2007,22,CLE,Home,TOR,W (+3),1,44:41:00,14,29,0.483,2,8,0.25,7,8,0.875,3,9,12,12,3,1,4,3,37,33.6,7
14,14,11/25/2007,22-330,2007,22,CLE,Away,IND,W (+5),1,35:47:00,10,21,0.476,1,6,0.167,9,15,0.6,3,8,11,10,4,1,2,1,30,30.7,9
15,15,11/27/2007,22-332,2007,22,CLE,Home,BOS,W (+5),1,45:46:00,11,25,0.44,2,8,0.25,14,15,0.933,0,4,4,13,2,2,3,2,38,34.4,14
16,16,11/28/2007,22-333,2007,22,CLE,Away,DET,L (-35),1,19:31,5,11,0.455,0,2,0,5,9,0.556,0,1,1,3,0,0,0,1,15,9.7,-2
17,,11/30/2007,22-335,2007,22,CLE,Away,TOR,L (-9),,,,,,,,,,,,,,,,,,,,,,
18,,12/2/2007,22-337,2007,22,CLE,Away,BOS,L (-10),,,,,,,,,,,,,,,,,,,,,,
19,,12/4/2007,22-339,2007,22,CLE,Home,NJN,L (-21),,,,,,,,,,,,,,,,,,,,,,
20,,12/5/2007,22-340,2007,22,CLE,Away,WAS,L (-19),,,,,,,,,,,,,,,,,,,,,,
21,,12/8/2007,22-343,2007,22,CLE,Away,CHA,L (-3),,,,,,,,,,,,,,,,,,,,,,
22,17,12/11/2007,22-346,2007,22,CLE,Home,IND,W (+13),0,22:37,5,9,0.556,0,1,0,7,10,0.7,1,2,3,5,1,1,4,2,17,13.2,27
23,18,12/14/2007,22-349,2007,22,CLE,Away,NJN,L (-8),1,41:09:00,12,25,0.48,3,9,0.333,2,3,0.667,0,6,6,8,2,0,6,3,29,18.1,6
24,19,12/15/2007,22-350,2007,22,CLE,Home,PHI,L (-6),1,41:46:00,10,18,0.556,0,1,0,1,1,1,0,6,6,6,0,1,3,1,21,15.7,5
25,20,12/17/2007,22-352,2007,22,CLE,Home,MIL,W (+5),1,50:13:00,10,25,0.4,0,5,0,11,13,0.846,1,7,8,5,1,0,2,3,31,20.8,6
26,21,12/19/2007,22-354,2007,22,CLE,Away,NYK,L (-18),1,36:52:00,12,21,0.571,3,6,0.5,5,6,0.833,1,7,8,6,6,0,4,1,32,30.3,-9
27,22,12/20/2007,22-355,2007,22,CLE,Home,LAL,W (+4),1,38:28:00,12,29,0.414,0,3,0,9,11,0.818,4,6,10,5,1,1,3,3,33,22.3,-7
28,23,12/23/2007,22-358,2007,22,CLE,Home,GSW,L (-9),1,40:51:00,8,20,0.4,0,2,0,9,13,0.692,2,3,5,8,1,1,3,2,25,18.4,-12
29,24,12/25/2007,22-360,2007,22,CLE,Home,MIA,W (+14),1,38:36:00,9,19,0.474,0,3,0,7,11,0.636,0,6,6,12,1,1,2,3,25,22.4,18
30,25,12/27/2007,22-362,2007,22,CLE,Away,DAL,W (+7),1,36:19:00,9,21,0.429,1,4,0.25,5,10,0.5,4,4,8,7,3,0,3,5,24,17.8,5
31,26,12/29/2007,22-364,2007,22,CLE,Away,NOH,L (-10),1,42:21:00,8,21,0.381,1,4,0.25,4,6,0.667,2,3,5,6,1,0,4,1,21,11.8,-18
